Season,FL,TL ,lbs,kg
Summer,531,580,2.80,1.27
Summer,528,570,2.78,1.26
Summer,505,556,2.78,1.26
Summer,530,580,2.76,1.25
Summer,511,549,2.76,1.25
Summer,507,552,2.75,1.25
Summer,503,553,2.75,1.25
Summer,495,532,2.75,1.25
Summer,507,554,2.71,1.23
Summer,495,539,2.65,1.20
Summer,505,552,2.64,1.2
Summer,480,532,2.64,1.2
Summer,490,541,2.62,1.19
Summer,491,536,2.60,1.18
Summer,495,530,2.58,1.17
Summer,510,566,2.50,1.13
Summer,507,553,2.49,1.13
Summer,476,516,2.45,1.11
Summer,548,605,2.40,1.09
Summer,492,537,2.36,1.07
Summer,469,529,2.35,1.07
Summer,481,526,2.25,1.02
Summer,478,503,2.25,1.02
Summer,485,532,2.25,1.02
Summer,465,499,2.25,1.02
Summer,453,498,2.15,0.98
Summer,471,510,2.14,0.97
Summer,473,512,2.09,0.95
Summer,460,504,2.00,0.91
Summer,460,505,2.00,0.91
Summer,454,500,1.98,0.9
Summer,455,493,1.95,0.88
Summer,428,465,1.95,0.88
Summer,436,480,1.85,0.84
Summer,430,470,1.85,0.84
Summer,435,475,1.76,0.8
Summer,415,460,1.76,0.80
Summer,435,470,1.75,0.79
Summer,409,453,1.65,0.75
Summer,391,434,1.21,0.55
